date,ret
2023-11-30,-0.05773737030831497
2023-12-31,0.024654223444168052
2024-01-31,0.03855584317548402
2024-02-29,-0.007509266825248693
2024-03-31,0.037960112524769885
2024-04-30,-0.019831361454328348
2024-05-31,-0.014162241048448071
2024-06-30,-0.05035153009843205
2024-07-31,0.06000104714581812
2024-08-31,0.0050031112238160536
2024-09-30,-0.026709970150411905
