date,ret,W_RMW,W_CMA,W_HML,turnover,clip_hit,selected_lambda
2023-07-31,0.04055042938052994,0.3690845858634722,0.32428779957739534,0.3066276145591325,0.0,0.0,1
2023-08-31,-0.03220888453207281,0.3682819849256576,0.32440841254004193,0.3073096025343005,0.0016052018756291808,0.0,1
2023-09-30,-0.0030328917752854706,0.3671537248726835,0.3246058823773174,0.308240392749999,0.0022565201059480677,0.0,1
2023-10-31,0.01994744194165076,0.36199037089226554,0.325519228072403,0.31249040103533143,0.010326707960836012,0.0,1
2023-11-30,-0.053545281141654744,0.35892280401994536,0.32608293946979955,0.31499425651025503,0.006135133744640309,0.0,1
2023-12-31,0.017158620598447073,0.362983587123811,0.3253005639322776,0.3117158489439115,0.008121566207731135,0.0,1
2024-01-31,0.01186755163826561,0.36631721124671596,0.32450132293855305,0.30918146581473094,0.0066672482458100535,0.0,1
2024-02-29,-0.004522003419814538,0.36465447135867146,0.32467640379824814,0.31066912484308046,0.003325479776089102,0.0,1
2024-03-31,0.04560495579264421,0.36137130907773196,0.325188233747137,0.3134404571751311,0.006566324561879,0.0,1
2024-04-30,-0.024333999683187946,0.3616062844686431,0.32514442562134277,0.3132492899100141,0.00046995078182238137,0.0,1
2024-05-31,-0.03622988868266087,0.3570512900543066,0.32597357236737917,0.31697513757831436,0.009109988828673199,0.0,1
2024-06-30,-0.010571305213811461,0.3583724876279634,0.3256938953972891,0.3159336169747475,0.002642395147313792,0.0,1
2024-07-31,0.0261402667577902,0.3660971933093152,0.31745954825473344,0.31644325843595134,0.01646869428511133,0.0,1
2024-08-31,-0.023223507868304533,0.3677649201334091,0.3168958475477127,0.31533923231887817,0.0033354536481877695,0.0,1
2024-09-30,-0.010975345881706965,0.36777681643354126,0.3169184578828685,0.31530472568359025,6.901327057584616e-05,0.0,1
